Mb.start	Mb.end	signif
0.034036	2.10953777795943	ns
2.11892918871943	2.2034518855594	lo
2.2128432963194	2.60728254823929	ns
2.61667395899929	2.9547647463592	lo
2.96415615711919	3.16137578307914	ns
3.17076719383914	3.28346412295911	lo
3.2928555337191	4.20382237743885	ns
4.21321378819885	4.31651930655882	lo
4.32591071731882	8.0449093782778	ns
8.0543007890378	8.16699771815776	hi
8.17638912891776	8.3923915763977	ns
8.4017829871577	8.4205658086777	hi
8.42995721943769	8.62717684539764	ns
8.63656825615764	9.01222468655753	hi
9.02161609731753	9.98893140559726	ns
9.99832281635726	10.0546712809172	hi
10.0640626916772	10.1391939777572	ns
10.1485853885172	10.2612823176372	hi
10.2706737283972	11.3788601980769	ns
11.3882516088369	11.3882516088369	hi
11.3976430195969	12.2992184525566	ns
12.3086098633166	12.5340037215566	hi
12.5433951323166	14.0648036754361	ns
14.0741950861961	14.3653288197561	hi
14.3747202305161	26.1327665020328	ns
26.1421579127928	26.3581603602728	hi
26.3675517710328	27.2973014362725	ns
27.3066928470325	27.5978265805924	lo
27.6072179913524	32.0869209238712	ns
32.0963123346312	32.2277920852712	lo
32.2371834960312	34.8104300442704	ns
34.8198214550304	34.9888668487104	lo
34.9982582594704	39.3370900305892	ns
39.3464814413492	39.4403955489492	hi
39.4497869597092	40.4171022679889	ns
40.4264936787489	40.5579734293889	hi
40.5673648401489	41.5910286129886	ns
41.6004200237486	41.8445967035085	hi
41.8539881142685	50.1466038153462	ns
50.1559952261062	50.2217351014262	lo
50.2311265121862	51.9591460920257	ns
51.9685375027857	52.1751485395057	lo
52.1845399502657	53.8843852978252	ns
53.8937767085852	54.1379533883451	lo
54.1473447991051	65.351297835782	ns
65.360689246542	65.492168997182	lo
65.501560407942	66.0744364643019	ns
66.0838278750618	66.1213935181018	lo
66.1307849288618	67.1638401124615	ns
67.1732315232215	67.2765370415815	lo
67.2859284523415	70.1127430911007	ns
70.1221345018607	70.3193541278207	lo
70.3287455385807	72.7892951577	ns
72.79868656846	73.6626963583798	lo
73.6720877691398	74.6769687204595	ns
74.6863601312195	74.6957515419795	lo
74.7051429527395	74.9023625786994	ns
74.9117539894594	75.0338423293394	lo
75.0432337400994	75.5597613318992	ns
75.5691527426592	75.6912410825392	lo
75.7006324932992	78.5556213643384	ns
78.5650127750984	78.7152753472584	hi
78.7246667580184	78.8091894548583	ns
78.8185808656183	79.1191060099383	hi
79.1284974206983	81.0255623942177	ns
81.0349538049777	81.4200016461376	hi
81.4293930568976	81.5984384505776	ns
81.6078298613376	81.6923525581776	hi
81.7017439689375	83.3734150842171	ns
83.3828064949771	83.4955034240971	hi
83.5048948348571	85.6273536666165	ns
85.6367450773765	85.6743107204165	hi
85.6837021311765	85.7024849526965	ns
85.7118763634565	86.0499671508164	hi
86.0593585615764	86.9609339945361	ns
86.9703254052961	87.0360652806161	hi
87.0454566913761	92.2389068416547	ns
92.2482982524147	92.4736921106546	hi
92.4830835214146	95.4413779108138	ns
95.4507693215738	95.8076429304537	hi
95.8170343412137	96.0142539671736	ns
96.0236453779336	96.1269508962936	hi
96.1363423070536	97.0097435077333	ns
97.0191349184933	97.0660919722933	hi
97.0754833830533	101.714840298492	ns
101.724231709252	101.771188763052	lo
101.780580173812	103.508599753652	ns
103.517991164412	103.630688093532	lo
103.640079504292	106.861333394971	ns
106.870724805731	106.964638913331	lo
106.974030324091	107.82864870325	ns
107.83804011401	107.85682293553	lo
107.86621434629	107.91317140009	ns
107.92256281085	107.96951986465	lo
107.97891127541	119.220429955127	ns
119.229821365887	119.229821365887	lo
119.239212776647	119.295561241207	ns
119.304952651967	119.380083938047	lo
119.389475348807	122.000287540086	ns
122.009678950846	122.112984469206	lo
122.122375879966	137.458549651042	ns
137.467941061802	137.646377866242	lo
137.655769277002	137.693334920042	ns
137.702726330802	138.012642885882	lo
138.022034296642	138.209862511842	ns
138.219253922602	138.454039191602	lo
138.463430602362	144.10766846912	ns
144.11705987988	144.22036539824	lo
144.229756809	146.38038987304	ns
146.3897812838	146.40856410532	hi
146.41795551608	149.657992228279	ns
149.667383639039	149.761297746639	hi
149.770689157399	152.099759025878	ns
152.109150436638	152.447241223998	hi
152.456632634758	154.870225200077	ns
154.879616610837	155.809366276077	hi
155.818757686837	156.401025153957	ns
156.410416564717	156.776681584357	hi
156.786072995117	158.363830002796	ns
158.373221413556	158.683137968636	hi
158.692529379396	159.528364937036	ns
159.537756347796	160.185763690236	hi
160.195155100996	162.308222521995	ns
162.317613932755	162.496050737195	hi
162.505442147955	168.215419890034	ns
168.224811300794	168.440813748274	lo
168.450205159034	168.544119266634	ns
168.553510677394	168.647424784994	lo
168.656816195754	180.41486246727	ns
180.42425387803	180.48060234259	hi
180.48999375335	183.07263171235	ns
183.08202312311	183.49524519655	hi
