Mb.start	Mb.end	signif
0.02709	1.62678707386604	ns
1.63557661822794	1.63557661822794	lo
1.64436616258984	2.10142246940871	ns
2.11021201377061	2.16294927994202	lo
2.17173882430392	2.62000558676089	ns
2.62879513112279	2.96279781687504	lo
2.97158736123694	3.11222007102736	ns
3.12100961538926	3.27922141390348	lo
3.28801095826539	3.71869863199855	ns
3.72748817636045	3.76264635380806	lo
3.77143589816996	4.22849220498883	ns
4.23728174935073	4.43944126967446	lo
4.44823081403636	5.08107800809325	ns
5.08986755245516	5.23928980660748	lo
5.24807935096938	7.99920673624449	ns
8.00799628060639	8.58810620849188	hi
8.59689575285378	8.60568529721568	ns
8.61447484157758	9.01000433786314	hi
9.01879388222504	9.4055338341487	ns
9.4143233785106	9.61648289883433	hi
9.62527244319623	9.80106333043426	ns
9.80985287479616	10.3635941695959	hi
10.3723837139578	12.3588207397475	ns
12.3676102841094	12.5434011713475	hi
12.5521907157094	12.7543502360331	ns
12.763139780395	12.9916679338044	hi
13.0004574781663	14.0727818903183	ns
14.0815714346802	14.3892054873467	hi
14.3979950317086	26.0001935894184	ns
26.0089831337803	26.4660394405991	hi
26.474828984961	27.0022016466751	ns
27.010991191037	27.0197807353989	lo
27.0285702797608	27.2483088888084	ns
27.2570984331703	27.6438383850939	lo
27.6526279294558	28.7513209746935	ns
28.7601105190554	28.8304268739506	lo
28.8392164183125	32.091347832216	ns
32.1001373765779	32.2583491750921	lo
32.267138719454	33.8140985271486	ns
33.8228880715105	33.8580462489581	lo
33.86683579332	34.763369318234	ns
34.7721588625959	35.027055649091	lo
35.0358451934529	35.7917460085764	ns
35.8005355529383	35.923589174005	lo
35.9323787183669	40.4150463429365	ns
40.4238358872984	40.5380999640031	hi
40.546889508365	41.5576871099837	ns
41.5664766543456	42.0586911386121	hi
42.067480682974	44.9943989554871	ns
45.003188499849	45.0383466772966	hi
45.0471362216585	45.0559257660204	ns
45.0647153103823	45.0647153103823	hi
45.0735048547442	48.4662689784381	ns
48.4750585228	48.4838480671619	lo
48.4926376115238	50.1099137741137	ns
50.1187033184756	50.2505464839041	lo
50.259336028266	51.9557180901129	ns
51.9645076344748	52.1227194329891	lo
52.131508977351	52.6061443728936	ns
52.6149339172555	52.667671183427	lo
52.6764607277889	53.8542596722836	ns
53.8630492166455	54.1355250918645	lo
54.1443146362264	65.3158255202029	ns
65.3246150645648	65.5091954961648	lo
65.5179850405267	66.0453577022408	ns
66.0541472466027	66.1508322345836	lo
66.1596217789455	66.7133630737452	ns
66.7221526181071	66.7836794286405	lo
66.7924689730024	67.1528402918403	ns
67.1616298362022	67.2934730016307	lo
67.3022625459926	70.0094422094582	ns
70.0182317538201	70.027021298182	lo
70.0358108425439	70.2731285403153	ns
70.2819180846772	70.299497173401	lo
70.3082867177629	71.9079837916289	ns
71.9167733359908	72.0310374126955	lo
72.0398269570574	72.7254114172857	ns
72.7342009616476	73.7098403858187	lo
73.7186299301806	74.13173851519	ns
74.1405280595519	74.219633958809	lo
74.2284235031709	74.6239529994564	ns
74.6327425438183	74.7997438866945	lo
74.8085334310563	74.843691608504	ns
74.8524811528659	75.1513256611705	lo
75.1601152055324	75.4238015363894	ns
75.4325910807514	75.6786983228846	lo
75.6874878672465	77.243237219303	ns
77.2520267636649	77.2783953967506	lo
77.2871849411125	78.8429342931691	ns
78.851723837531	79.1681474345594	hi
79.1769369789213	80.091049592559	ns
80.0998391369209	80.3107882016066	hi
80.3195777459685	80.9260563069397	ns
80.9348458513016	81.3479544363109	hi
81.3567439806728	81.7083257551489	ns
81.7171152995108	81.7171152995108	hi
81.7259048438727	82.9828096876246	ns
82.9915992319865	83.1673901192245	hi
83.1761796635864	83.299233284653	ns
83.3080228290149	83.571709159872	hi
83.5804987042339	83.8441850350909	ns
83.8529745794528	84.1430295433955	hi
84.1518190877574	84.4330845073383	ns
84.4418740517002	84.6440335720239	hi
84.6528231163858	84.9428780803286	ns
84.9516676246905	85.3999343871474	hi
85.4087239315093	85.7251475285378	ns
85.7339370728997	85.8130429721568	hi
85.8218325165187	85.8921488714139	ns
85.9009384157758	85.9097279601377	hi
85.9185175044996	85.9273070488615	ns
85.9360965932234	86.1822038353566	hi
86.1909933797185	86.8941569286707	ns
86.9029464730326	87.1666328038896	hi
87.1754223482515	91.9745135698496	ns
91.9833031142115	93.1435229699825	hi
93.1523125143444	93.3281034015824	ns
93.3368929459443	93.3720511233919	hi
93.3808406677538	93.5038942888204	ns
93.5126838331823	93.5566315549919	hi
93.5654210993538	95.4200149597149	ns
95.4288045040768	96.0968098755813	hi
96.1055994199432	96.1847053192003	ns
96.1934948635622	96.1934948635622	hi
96.2022844079241	96.2726007628194	ns
96.2813903071813	96.7296570696382	hi
96.7384466140001	96.9230270456001	ns
96.931816589962	97.0900283884762	hi
97.0988179328381	97.4943474291236	ns
97.5031369734855	97.9689828246663	hi
97.9777723690282	102.662599513922	ns
102.671389058284	102.864759034245	lo
102.873548578607	103.444868962131	ns
103.453658506493	103.682186659902	lo
103.690976204264	106.943107618168	ns
106.951897162529	106.960686706891	lo
106.969476251253	107.699008433291	ns
107.707797977653	107.778114332548	lo
107.78690387691	107.901167953615	ns
107.909957497977	107.962694764148	lo
107.97148430851	111.645513851785	ns
111.654303396147	111.724619751042	hi
111.733409295404	112.339887856375	ns
112.348677400737	112.392625122546	lo
112.401414666908	117.121399989249	ns
117.130189533611	117.130189533611	lo
117.138979077973	118.413463010449	ns
118.422252554811	118.474989820982	lo
118.483779365344	119.266048813553	ns
119.274838357915	119.415471067706	lo
119.424260612067	119.468208333877	ns
119.476997878239	119.600051499305	lo
119.608841043667	121.823806222866	ns
121.832595767228	122.096282098085	lo
122.105071642447	135.342125451471	ns
135.350914995833	135.368494084556	lo
135.377283628918	137.425247465241	ns
137.434037009603	138.014146937489	lo
138.022936481851	138.198727369089	ns
138.20751691345	138.488782333031	lo
138.497571877393	141.85517782364	ns
141.863967368001	141.890336001087	lo
141.899125545449	144.070143002839	ns
144.078932547201	144.228354801353	lo
144.237144345715	149.581187317751	ns
149.589976862113	149.765767749351	hi
149.774557293713	150.31950904415	ns
150.328298588512	150.389825399046	hi
150.398614943408	151.919206118017	ns
151.927995662378	152.666317388778	hi
152.67510693314	154.819755757444	ns
154.828545301806	155.962396524491	hi
155.971186068853	156.41945283131	ns
156.428242375672	156.814982327596	hi
156.823771871957	156.885298682491	ns
156.894088226853	157.474198154738	hi
157.4829876991	158.449837578909	ns
158.458627123271	158.739892542852	hi
158.748682087214	158.933262518814	ns
158.942052063176	158.950841607538	hi
158.959631151899	159.363950192547	ns
159.372739736909	160.427485060337	hi
160.436274604699	160.576907314489	ns
160.585696858851	160.840593645346	hi
160.849383189708	161.631652637917	ns
161.640442182279	161.974444868032	hi
161.983234412394	162.185393932717	ns
162.194183477079	162.51939661847	hi
162.528186162831	164.910152684907	ns
164.918942229269	164.980469039802	lo
164.989258584164	165.006837672888	ns
165.015627217249	165.050785394697	lo
165.059574939059	166.606534746754	ns
166.615324291116	166.712009279096	lo
166.720798823458	167.520647360391	ns
167.529436904753	167.529436904753	lo
167.538226449115	168.20623182062	ns
168.215021364982	168.505076328924	lo
168.513865873286	168.540234506372	ns
168.549024050734	168.549024050734	lo
168.557813595096	168.768762659781	ns
168.777552204143	168.786341748505	lo
168.795131292867	168.883026736486	ns
168.891816280848	168.935764002657	lo
168.944553547019	169.841087071933	ns
169.849876616295	169.928982515552	lo
169.937772059914	179.940273543758	ns
179.94906308812	180.441277572386	hi
180.450067116748	181.416916996557	ns
181.425706540919	181.56633925071	hi
181.575128795072	183.086930425319	ns
183.09571996968	183.104509514042	hi
183.113299058404	183.297879490004	ns
183.306669034366	183.50882855469	hi
183.517618099052	187.191647642327	ns
187.200437186688	187.323490807755	lo
187.332280352117	188.800134260554	ns
188.808923804916	188.888029704173	lo
