Mb.start	Mb.end	signif
0.02709	2.12268580804252	ns
2.13167978146759	2.14067375489267	lo
2.14966772831775	2.61735434642166	ns
2.62634831984673	2.95013136314944	lo
2.95912533657451	3.14799877850109	ns
3.15699275192617	3.29190235330229	lo
3.30089632672737	4.22727558951012	ns
4.23626956293519	4.35319121746117	lo
4.36218519088624	5.00975127749166	ns
5.01874525091673	5.01874525091673	lo
5.02773922434181	8.13066005599275	ns
8.13965402941782	8.22959376366857	hi
8.23858773709365	8.24758171051873	ns
8.2565756839438	8.2925515776441	hi
8.30154555106918	8.61633462094681	ns
8.62532859437188	9.02106342507519	hi
9.03005739850027	9.38981633550327	ns
9.39881030892835	9.61466567113015	hi
9.62365964455523	9.83951500675703	ns
9.84850898018211	10.19927394376	hi
10.2082679171851	12.3758155126282	ns
12.3848094860533	12.5377070342796	hi
12.5467010077047	12.7625563699065	ns
12.7715503433315	12.9784117321083	hi
12.9874057055334	14.1206463570928	ns
14.1296403305179	14.3904655598451	hi
14.3994595332702	26.1365948529933	ns
26.1455888264184	26.3344622683449	hi
26.34345624177	26.9460524612501	ns
26.9550464346751	26.9820283549504	lo
26.9910223283754	27.3148053716781	ns
27.3237993451032	27.656576361831	lo
27.6655703352561	28.7718290665403	ns
28.7808230399654	28.8257929070908	lo
28.8347868805158	30.0759552131762	ns
30.0849491866013	30.0849491866013	lo
30.0939431600264	32.0906052603931	ns
32.0995992338181	32.2704847288946	lo
32.2794787023196	33.8174481580075	ns
33.8264421314326	33.9703457062338	lo
33.9793396796589	34.7887972879156	ns
34.7977912613407	34.9776707298422	lo
34.9866647032673	35.796122311524	ns
35.8051162849491	35.8770680723497	lo
35.8860620457748	40.3920427317375	ns
40.4010367051625	40.4819824659882	hi
40.4909764394133	41.5522653035722	ns
41.5612592769972	42.0019639748259	hi
42.010957948251	44.9699752051007	ns
44.9789691785258	45.0509209659264	hi
45.0599149393515	50.141509924519	ns
50.150503897944	50.2404436321948	lo
50.2494376056199	51.9762805032343	ns
51.9852744766594	52.0932021577603	lo
52.1021961311854	52.183141892011	ns
52.1921358654361	52.1921358654361	lo
52.2011298388612	52.2371057325615	ns
