Mb.start	Mb.end	signif
0.02709	0.844517625656822	ns
0.853307170018723	0.888465347466328	lo
0.89725489182823	1.51252299716132	ns
1.52131254152322	1.82015704982787	lo
1.82894659418977	2.0311061145135	ns
2.0398956588754	2.30358198973244	lo
2.31237153409434	2.58484740931328	ns
2.59363695367518	3.3495377687987	lo
3.3583273131606	3.68354045455095	ns
3.69232999891285	3.89448951923658	lo
3.90327906359848	4.16696539445552	ns
4.17575493881742	4.58007397946488	lo
4.58886352382678	4.87891848776952	ns
4.88770803213143	5.35355388331219	lo
5.3623434276741	7.95525901443498	ns
7.96404855879688	9.11547887020595	hi
9.12426841456786	9.36158611233919	ns
9.37037565670109	10.4427000688531	hi
10.451489613215	10.89096683131	ns
10.8997563756719	11.0491786298242	hi
11.0579681741861	11.2601276945099	ns
11.2689172388718	11.4359185817479	hi
11.4447081261098	12.0423971427191	ns
12.051186687081	13.0971424661472	hi
13.1059320105092	14.0024655354231	ns
14.011255079785	14.45073229788	hi
14.459521842242	15.6461103310986	ns
15.6548998754605	15.7076371416319	hi
15.7164266859938	16.0855875491937	ns
16.0943770935556	16.1119561822794	lo
16.1207457266413	16.7008556545268	ns
16.7096451988887	16.8942256304886	lo
16.9030151748505	20.1024093225826	ns
20.1111988669445	20.1727256774778	hi
20.1815152218397	20.9725742144108	ns
20.9813637587727	21.4647886986773	lo
21.4735782430392	23.9434402087335	ns
23.9522297530954	24.1104415516096	lo
24.1192310959715	25.947456323247	ns
25.9562458676089	26.4836185293229	hi
26.4924080736848	26.8703584812466	ns
26.8791480256085	27.6965756512653	lo
27.7053651956272	28.0393678813795	ns
28.0481574257414	28.3997392002174	lo
28.4085287445793	28.6985837085221	ns
28.707373252884	29.05895502736	lo
29.0677445717219	29.9203303748264	ns
29.9291199191883	30.219174883131	lo
30.2279644274929	31.9331360337018	ns
31.9419255780637	32.5484041390349	lo
32.5571936833968	33.3834108534155	ns
33.3922003977774	33.5416226519297	lo
33.5504121962916	33.7349926278915	ns
33.7437821722534	34.0162580474724	lo
34.0250475918343	34.675473874615	ns
34.6842634189769	35.1764779032433	lo
35.1852674476052	35.6862714762336	ns
35.6950610205955	36.1960650492239	lo
36.2048545935858	38.0330798208613	ns
38.0418693652232	38.2000811637374	hi
38.2088707080993	38.7362433698134	ns
38.7450329141753	38.947192434499	hi
38.9559819788609	39.3251428420608	ns
39.3339323864227	39.5888291729178	hi
39.5976187172797	39.9492004917558	ns
39.9579900361177	40.1689391008033	hi
40.1777286451652	40.3623090767651	ns
40.371098621127	40.6084163188984	hi
40.6172058632603	41.0127353595458	ns
41.0215249039077	41.0391039926315	hi
41.0478935369934	41.4346334889171	ns
41.443423033279	42.1641656709549	hi
42.1729552153168	43.2452796274687	ns
